X,Y,ObjectId,AQSID,CountryCode,DataSource,EPARegion,Elevation,GMTOffset,Latitude,LocalTimeString,Longitude,OZONE,OZONEPM_AQI,OZONEPM_AQI_LABEL,OZONEPM_AQI_SORT,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,PM10,PM10_AQI,PM10_AQI_LABEL,PM10_AQI_SORT,PM10_Measured,PM10_Unit,PM25,PM25_AQI,PM25_AQI_LABEL,PM25_AQI_SORT,PM25_Measured,PM25_Unit,PM_AQI,PM_AQI_LABEL,PM_AQI_SORT,ReportingArea_PipeDelimited,SiteName,StateName,Status
15190079.7429,4362223.3627,277720006,017321010,,Japan Ministry of Environment,,0,9,36.446421,Fri 08/18/2023 04:00 PM JST,136.454808,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 017321010,,Active
15193459.0686,4120659.3205,277720007,024213010,,Japan Ministry of Environment,,0,9,34.681332,Fri 08/18/2023 04:00 PM JST,136.485165,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 024213010,,Active
15047892.4705,4054189.858,277720008,030201110,,Japan Ministry of Environment,,0,9,34.188862,Fri 08/18/2023 04:00 PM JST,135.177518,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 030201110,,Active
15046347.9125,4016388.6908,277720009,030205020,,Japan Ministry of Environment,,0,9,33.907503,Fri 08/18/2023 04:00 PM JST,135.163643,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 030205020,,Active
14524431.1554,3897112.9922,277720010,040202250,,Japan Ministry of Environment,,0,9,33.013628,Fri 08/18/2023 04:00 PM JST,130.475185,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 040202250,,Active
-9996378.9537,4029151.148,277720011,281619991,US,EPA Office of Atmospheric Protection,R3,133.9,-6,34.0026,Fri 08/18/2023 02:00 AM CDT,-89.799,,40,40,40,40,40,40,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Coffeeville,MS,Active
-10858326.4389,3573923.249,277720012,484916602,US,Capital Area Council of Governments,R6,198.9,-6,30.545964,Fri 08/18/2023 02:00 AM CDT,-97.542006,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Austin,Hutto C6602,TX,Inactive
-13328516.5149,4707015.8207,277720013,320050007,US,Nevada Division of Environmental Protection,R9,1489.9,-8,38.897611,Fri 08/18/2023 12:00 AM PDT,-119.732101,,27,27,27,,ND,-999,0,,,,ND,-999,0,,7,27,27,27,1,UG/M3,27,27,27,Gardnerville,Ranchos,NV,Active
-13548322.1928,4383057.2626,277720014,060539986,US,Monterey Bay Unified APCD,R9,0,-8,36.596824,Fri 08/18/2023 12:00 AM PDT,-121.706649,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Toro Park,CA,Inactive
15720061.0405,4639507.1122,277720015,004562020,,Japan Ministry of Environment,,0,9,38.42407,Fri 08/18/2023 04:00 PM JST,141.215711,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 004562020,,Active
15575830.9442,4378810.5385,277720016,009201100,,Japan Ministry of Environment,,0,9,36.56619,Fri 08/18/2023 04:00 PM JST,139.92007,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 009201100,,Active
-8462262.7872,5720011.8312,277720017,000052401,CA,Canada-Quebec1,CA,192.2,-5,45.6222,Fri 08/18/2023 03:00 AM EDT,-76.0178,23,25,25,25,24,24,24,1,PPB,,,ND,-999,0,,6.4,25,25,25,1,UG/M3,25,25,25,,Parc de la Gatineau - La Pêche,CC,Active
-13538547.3397,4741555.8052,277720018,061010003,US,California Air Resources Board,R9,0,-8,39.13868,Fri 08/18/2023 12:00 AM PDT,-121.61884,,38,38,38,33,33,33,1,,,33.0,33,33,1,,,38,38,38,1,,38,38,38,Yuba City and Marysville,Yuba City,CA,Active
-9839874.8816,4460817.67,277720019,211390003,US,Kentucky DEP,R4,0,-6,37.1556,Fri 08/18/2023 02:00 AM CDT,-88.3931,,17,17,17,17,17,17,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,SMITHLD,KY,Active
